epoch,accuracy,loss,f1
0,0.3563067498085548,1.6613261364648984,0.0991
1,0.4109506618531889,1.5411413226603887,0.1991
2,0.4443168143529154,1.4252931991221802,0.2052
3,0.4575538781314954,1.3600237951173313,0.2331
4,0.4739634613280822,1.295540103282726,0.3211
5,0.4988513291762389,1.218784856934501,0.3328
6,0.558035225905262,1.1161792843233065,0.3094
7,0.5727491521715349,1.0943467121601052,0.2911
8,0.5783284104583744,1.0818460766458755,0.3312
9,0.5800787659993436,1.0743473869629312,0.3813
10,0.5822120118148999,1.0700835663906374,0.4446
11,0.5833059840280057,1.069802847775546,0.3042
12,0.584126463187835,1.0713498555209389,0.4663
13,0.5847281479050432,1.0721442663829992,0.5219
14,0.5880647631550159,1.0660333953583454,0.4826
15,0.5865332020566678,1.0620016193979354,0.4737
16,0.5906902964664698,1.0610359651934669,0.4547
17,0.5885023520402581,1.0609993464888583,0.4518
18,0.5883929548189476,1.0610513991905817,0.4255
19,0.592823542282026,1.0586930104802257,0.4063
20,0.5881741603763264,1.057815915541111,0.3767
21,0.5938081172738212,1.052998914941371,0.4701
22,0.5935346242205448,1.051695275979626,0.4685
23,0.5946832950443058,1.051471231855145,0.5065
24,0.5963242533639646,1.0512569524073103,0.4559
25,0.5939722131057871,1.049566623627546,0.4295
26,0.5992779783393501,1.0490883331227885,0.3545
27,0.5938628158844765,1.0514804417215071,0.4271
28,0.5978011158516574,1.049793403410257,0.3488
29,0.5987309922327972,1.04393917156536,0.4538
30,0.6006454436057325,1.041398060255298,0.3848
31,0.5998796630565584,1.0419575526043747,0.4692
32,0.5978011158516574,1.037849865848081,0.3512
33,0.5996608686139372,1.0397416111638125,0.4699
34,0.5971447325237939,1.0373601838074216,0.3474
35,0.6029427852532546,1.0295661108562402,0.4689
36,0.6004813477737665,1.0366765526997002,0.4386
37,0.6049119352368449,1.031111148798861,0.5163
38,0.6005907449950771,1.0339333366061858,0.4326
39,0.6017394158188382,1.0302874611081578,0.4371
40,0.6017941144294935,1.0297078176617245,0.4011
41,0.6033256755278416,1.0238050456876997,0.4451
42,0.6046384421835685,1.0269812282320316,0.4636
43,0.6054042227327426,1.0262955068602968,0.4081
44,0.6061153046712614,1.0239089298673434,0.5228
45,0.608139153265507,1.0223260799600342,0.4372
46,0.6074280713269883,1.01886383395737,0.4258
47,0.6073186741056777,1.0176325938122863,0.471
48,0.6103817963023739,1.0172098959617732,0.5259
49,0.6083032490974729,1.0228564315389432,0.4166
50,0.6109834810195821,1.0163538192596806,0.4288
