epoch,accuracy,loss,f1
0,0.4614921780986763,1.3517006247952057,0.3865
1,0.6215950114867083,0.971143690355105,0.5163
2,0.7010720927688436,0.7791011410995302,0.7327
3,0.7363526966415053,0.6924770182050979,0.655
4,0.7650694672355323,0.6251802072719599,0.6175
5,0.7863472267804398,0.5641786966148058,0.7559
6,0.8080625752105897,0.5128256035847419,0.8038
7,0.8228858986981731,0.4670249756701521,0.743
8,0.8371622360792036,0.4304866556617366,0.6987
9,0.843288480472596,0.4179897300492307,0.7771
10,0.7806038726616344,0.5816127350249237,0.7805
11,0.8017175363745761,0.5268193465029825,0.6921
12,0.8119461765671152,0.4921617971384973,0.7718
13,0.8404988513291762,0.4244860896212882,0.7664
14,0.8524778470626846,0.3874474099227263,0.8688
15,0.868231046931408,0.3445902562593947,0.7928
16,0.8893447106443496,0.2946917942946516,0.867
17,0.9090909090909092,0.2420747364138555,0.8521
18,0.9250082047915984,0.2038411401092399,0.8984
19,0.9405973088283558,0.1649029784547644,0.8783
20,0.9583196586806696,0.1206648694228035,0.9302
21,0.9662509572256864,0.0948534224998662,0.9734
22,0.9777923640739524,0.0688304764145985,1.0
23,0.9830981293075156,0.0525619713403101,0.9765
24,0.988458593151734,0.037757681535789,0.9689
25,0.9899354556394268,0.0347166751242319,0.9847
26,0.9919593042336724,0.0276829365120454,1.0
27,0.9911935236844984,0.0268005913698318,1.0
28,0.992615687561536,0.0249552782374325,0.9842
29,0.9942566458811948,0.0225243170923152,1.0
30,0.9093644021441856,0.2500806327246169,0.8745
31,0.9256645881194616,0.2033434631187823,0.8695
32,0.9482551143200962,0.1422679321790482,0.9701
33,0.9562411114757684,0.1213286397295021,0.9799
34,0.9631878350289904,0.1055453595203143,0.9523
35,0.9706815446887648,0.0842843080853792,0.9583
36,0.9763155015862596,0.0686658801878324,0.954
37,0.9747292418772564,0.0715916799241794,0.9832
38,0.9798162126681982,0.0574703392842795,0.9664
39,0.9843561973525872,0.044445049127295,0.951
40,0.9838639098566896,0.0465369243370918,1.0
41,0.9867082376107646,0.0418732428666297,0.9792
42,0.986598840389454,0.0397279289423826,0.9714
43,0.9894431681435292,0.0307054259321101,0.9687
44,0.990154250082048,0.0303501071325457,1.0
45,0.9909747292418772,0.0277780367364295,1.0
46,0.9928891806148124,0.0214912836729156,0.9803
47,0.9942566458811948,0.0170502712846799,0.9928
48,0.993545563942676,0.0191548491953766,0.9939
49,0.9954053167049556,0.0140676562487997,0.9743
50,0.9957335083688874,0.0135224391041239,1.0
51,0.9972103708565804,0.0081414036274116,1.0
