epoch,accuracy,loss,f1
0,0.3503992998577836,1.7095950189193376,0.1104
1,0.3815228093206432,1.6272053609673167,0.1114
2,0.3831090690296466,1.607324201590435,0.088
3,0.3879772453779674,1.595587100128209,0.158
4,0.3938299967180834,1.5816090817446782,0.1543
5,0.4026364730335849,1.5636951059132356,0.1339
6,0.4069029646646975,1.5515076338025493,0.1586
7,0.4078328410458374,1.548159303830523,0.1684
8,0.4088174160376326,1.546116432232299,0.182
9,0.409255004922875,1.5465627105240487,0.1309
10,0.4084892243737009,1.5459029270253912,0.1401
11,0.4081610327097691,1.5460819564388872,0.1046
12,0.4088174160376326,1.545561095802571,0.1397
13,0.4101301826933596,1.54506178145309,0.1549
14,0.4082704299310797,1.54432109338347,0.1347
15,0.4094737993654961,1.5448130712690689,0.1264
16,0.4098566896400831,1.5434151596293226,0.1411
17,0.4086533202056668,1.5447201502295764,0.139
18,0.4093097035335302,1.5432297963306296,0.1241
19,0.409255004922875,1.543674998074206,0.1455
20,0.4093097035335302,1.543950742045608,0.1877
21,0.4092003063122196,1.54317339721726,0.175
22,0.4101848813040148,1.54347396796752,0.1205
23,0.4105130729679466,1.541938168125384,0.1196
24,0.410020785472049,1.5427203212443203,0.1719
25,0.4099113882507384,1.5417145210261314,0.1902
26,0.4110053604638442,1.5406681358677308,0.1039
27,0.4095831965868067,1.5421811595237982,0.1675
28,0.4099113882507384,1.5426288310423315,0.1714
29,0.4107318674105678,1.5407568447022062,0.1316
30,0.4113882507384312,1.540618021943848,0.1164
31,0.412482222951537,1.5386253884996448,0.1504
32,0.4123181271195711,1.5400284353980689,0.1217
33,0.4123728257302264,1.5390623272176045,0.1635
34,0.4113335521277759,1.5387536871551932,0.1687
35,0.4117711410130182,1.537839352073874,0.1152
36,0.4113335521277759,1.5382189084659088,0.1786
37,0.4106224701892572,1.538790984991512,0.1358
38,0.4118805382343288,1.5368939907829111,0.1321
39,0.4121540312876053,1.537785330534425,0.2046
40,0.4116617437917076,1.5380799907417868,0.1606
41,0.4120446340662947,1.5371275477330597,0.137
42,0.413248003500711,1.5373737306045032,0.138
43,0.412865113226124,1.5371736252337886,0.1388
44,0.412865113226124,1.534652903283168,0.1415
45,0.4125916201728476,1.5358634348732547,0.184
46,0.4124275243408817,1.535492504885859,0.1454
47,0.4133574007220216,1.5345058636909996,0.1654
48,0.4142325784925063,1.534315525096559,0.1285
49,0.4143419757138168,1.5337161164538835,0.1615
50,0.4140684826605404,1.5335111267365065,0.1959
51,0.412482222951537,1.532241622398255,0.182
52,0.4137402909966087,1.532283024615238,0.1581
53,0.4143966743244721,1.5329221870977188,0.1904
54,0.4142325784925063,1.5328486651563629,0.1433
55,0.4134667979433322,1.531694423681588,0.1687
56,0.4143419757138168,1.5326232211149804,0.1405
57,0.4148889618203698,1.530910337731583,0.1062
58,0.4165846187506837,1.5302525401676188,0.1792
59,0.4167487145826496,1.5300594211446288,0.1368
60,0.4148889618203698,1.5300824178959214,0.1667
61,0.4162017284760967,1.5291922117998429,0.1381
62,0.4148889618203698,1.5300073438081447,0.1351
63,0.4156000437588885,1.527868509188273,0.1577
64,0.4165299201400284,1.5283152580313395,0.1848
65,0.4164752215293731,1.5279144073208186,0.1602
66,0.4182255770703424,1.5273848767745366,0.1581
67,0.4167487145826496,1.5273434346515884,0.1507
68,0.4147795645990592,1.527758947556995,0.1138
69,0.4168034131933049,1.526304159797186,0.1305
70,0.4175144951318236,1.5254701751286033,0.1827
71,0.4183896729023083,1.5250770310684754,0.2053
72,0.4175144951318236,1.5248462697919982,0.1378
73,0.4179520840170659,1.5244045788213365,0.1623
74,0.4190460562301717,1.5241429643132287,0.174
75,0.4173503992998578,1.5252888328123244,0.1608
76,0.4199759326113116,1.5233533402238342,0.1288
77,0.4194289465047587,1.523428767231619,0.1631
78,0.4192101520621376,1.5225789882906964,0.187
79,0.4183896729023083,1.5221243351322988,0.147
80,0.4209058089924516,1.5203977540133753,0.14
81,0.420413521496554,1.5208562193520936,0.1682
82,0.4199212340006564,1.521262313784662,0.1573
83,0.4213980964883492,1.5207590152288524,0.139
84,0.4214527950990044,1.5204018257259213,0.1336
85,0.4221091784268679,1.5192286604252283,0.137
86,0.4207417131604857,1.5201977963338549,0.1452
87,0.4218356853735915,1.5183036230074969,0.1628
88,0.4218356853735915,1.518801605840987,0.1789
89,0.4210699048244175,1.5185284908250023,0.1558
90,0.4231484520293184,1.5170264975688947,0.1636
91,0.4223826714801444,1.5171066097195465,0.1449
92,0.422492068701455,1.5158533860499666,0.158
93,0.4229296575866973,1.5165776428384992,0.1841
94,0.4217262881522809,1.5158759815898168,0.1435
95,0.4227655617547314,1.515586751501874,0.1316
96,0.421562192320315,1.515728905195481,0.1703
97,0.4227108631440761,1.5152947092692683,0.1833
98,0.4245159172957007,1.5147304688015386,0.1339
99,0.4247894103489771,1.5134899322424007,0.1369
100,0.424023629799803,1.5139720913957238,0.1793
101,0.4252816978448747,1.5124500820900442,0.1991
102,0.4252269992342194,1.5120443005671895,0.1406
103,0.4238048353571819,1.5118521201168469,0.133
104,0.4260474783940488,1.5119267227143431,0.1467
105,0.4247894103489771,1.5110149533779142,0.1441
106,0.4257739853407723,1.5091940847140617,0.1532
107,0.4259927797833935,1.5102818700941474,0.1545
108,0.4252269992342194,1.5091742838437128,0.1777
109,0.4252269992342194,1.5087301100830113,0.1603
110,0.4252816978448747,1.5087932789303544,0.1541
111,0.4257739853407723,1.5086493838108572,0.182
112,0.4263756700579805,1.5090420221737288,0.1608
113,0.4267038617219122,1.5073628144952274,0.1432
114,0.4273055464391204,1.5069595777340288,0.1569
115,0.426649163111257,1.505871197624653,0.1821
116,0.4277431353243627,1.5062910682223138,0.1944
117,0.4265397658899464,1.5051337601306232,0.1576
118,0.4285636144841921,1.5048911131102545,0.1905
119,0.4270867519964993,1.5045498469350322,0.1848
120,0.4285089158735368,1.502788443975383,0.1632
121,0.4281260255989498,1.5025233328831482,0.1525
122,0.4283995186522262,1.5031236807635702,0.2096
123,0.427797833935018,1.501802570592156,0.1714
124,0.4293293950333661,1.5018335987188507,0.153
125,0.4290012033694344,1.5019569742172294,0.1868
126,0.4281260255989498,1.5014268310230965,0.1624
127,0.4300951755825402,1.4998767781395863,0.1467
128,0.4297669839186084,1.5002676361356493,0.172
129,0.4296575866972978,1.5004120263629768,0.1749
130,0.4299857783612296,1.498753558257883,0.2003
131,0.4292199978120555,1.4990510104873902,0.1895
132,0.431189147795646,1.4983046647169804,0.176
133,0.4320096269554753,1.4961171520967842,0.163
134,0.4319002297341647,1.4961349176455478,0.1845
135,0.4308609561317142,1.4963355428110183,0.1583
136,0.4304780658571272,1.4954263350854309,0.1937
137,0.4327754075046494,1.4960189189995396,0.1519
138,0.4320643255661306,1.4950082353475695,0.1862
139,0.4334864894431681,1.49279365801939,0.1876
140,0.432337818619407,1.4934223496070147,0.1883
141,0.4332129963898917,1.4927007262339778,0.1764
142,0.4348539547095503,1.4913587706340192,0.1816
143,0.4330489005579258,1.4927167798298844,0.1543
144,0.4343616672136527,1.4922879249910572,0.1995
145,0.4338693797177552,1.4905665085908033,0.1456
146,0.4349086533202057,1.4906033955652178,0.1326
147,0.4345804616562739,1.4908237647806812,0.1464
148,0.4358932283120009,1.4888441968493644,0.1808
149,0.4345804616562739,1.4894345698426008,0.2013
150,0.4356744338693797,1.4878691384521332,0.1692
151,0.4352915435947927,1.488345484845214,0.1737
152,0.4352915435947927,1.4878822462314354,0.1353
153,0.4360026255333114,1.486573929573329,0.1676
154,0.4363855158078984,1.4858264134887689,0.1804
155,0.4354556394267586,1.4862739895720565,0.1492
156,0.4360026255333114,1.4848265962310672,0.1929
157,0.4379717755169018,1.4845190604945109,0.1775
158,0.4342522699923422,1.484224370996692,0.1535
159,0.4361667213652773,1.4819779289641222,0.1665
160,0.4373153921890384,1.4819402548249865,0.1921
161,0.4377529810742807,1.4821223265075434,0.1304
162,0.4376435838529701,1.481714185629276,0.1702
163,0.4378623782955912,1.4807396250393965,0.1434
164,0.4393939393939394,1.4801171510358593,0.1452
165,0.4393939393939394,1.4793619806742253,0.1568
166,0.4375341866316595,1.4799548399655749,0.1472
167,0.4394486380045946,1.4786844361781708,0.1579
168,0.4375888852423148,1.4792958029171217,0.162
169,0.4396127338365606,1.4770430558333707,0.1555
170,0.43950333661525,1.4770000850511398,0.1916
171,0.4401597199431134,1.4776008970144603,0.1904
172,0.4402144185537687,1.4748558348266656,0.155
173,0.4420194727053932,1.474687719772843,0.1483
174,0.4398315282791817,1.4740459232488905,0.1526
175,0.4426758560332567,1.47321301411127,0.1811
176,0.441964774094738,1.4728936287157255,0.1756
177,0.4409255004922875,1.4726439961692253,0.1707
178,0.442730554643912,1.471982601656328,0.1521
179,0.441034897713598,1.4716883228639197,0.1649
180,0.4436057324143966,1.4710689034924676,0.1867
181,0.4428399518652226,1.4705870848700455,0.1834
182,0.4415818838201509,1.470159593954505,0.166
183,0.4444809101848813,1.4686848282122844,0.1691
184,0.4446450060168472,1.4677418605880397,0.1931
185,0.443660431025052,1.466543632085208,0.2033
186,0.4433869379717755,1.4661788417348558,0.1623
187,0.4463953615578164,1.466465484012257,0.1932
188,0.444426211574226,1.4647336248078162,0.1918
189,0.4442074171316048,1.4645892652272263,0.1693
190,0.4442621157422601,1.4645037406670578,0.1746
191,0.4450825949020895,1.462003965813904,0.18
192,0.4440980199102943,1.462704722605627,0.1561
193,0.4468329504430587,1.4622554152294345,0.1818
194,0.4459577726725741,1.461266186915215,0.1944
195,0.4461765671151952,1.4604345960828855,0.2188
196,0.4456842796192977,1.4599054319802995,0.1736
197,0.4472158407176457,1.459282414434045,0.1741
198,0.4472705393283011,1.4603069454689095,0.1933
199,0.4484739087627174,1.4587275251597835,0.2198
200,0.4468329504430587,1.4596372554448538,0.1699
201,0.4494584837545126,1.457486949620603,0.1888
202,0.4491849907012362,1.4564480726651872,0.1559
203,0.4475440323815775,1.4568706797817943,0.1845
204,0.4488567990373044,1.4559115633741797,0.2028
205,0.4488021004266491,1.4539518288378772,0.1992
206,0.4487474018159939,1.454566524803684,0.1834
207,0.4501695656930314,1.452119306289006,0.1945
208,0.4507165517995843,1.45375189325009,0.2029
209,0.448583305984028,1.45164318170006,0.1941
210,0.4514276337381031,1.4505346854371295,0.2178
211,0.4502242643036866,1.450654706969562,0.1752
212,0.4519746198446559,1.4493169820017868,0.1826
213,0.4515917295700689,1.4489113317121758,0.1653
214,0.4526857017831747,1.448146761878681,0.2092
215,0.4518652226233454,1.447569268287865,0.1407
216,0.4519746198446559,1.4469692697150482,0.1779
217,0.4518652226233454,1.446131123206428,0.2175
218,0.4526857017831747,1.445737085800413,0.1511
219,0.4523575101192429,1.44468248759014,0.2436
220,0.4538890712175911,1.4445429851132192,0.2059
221,0.4539437698282463,1.4424652167788583,0.2117
222,0.4509900448528607,1.4435503027942769,0.1857
223,0.4542719614921781,1.4426904513660894,0.1719
224,0.4537796739962805,1.4424146774260902,0.1385
225,0.4570068920249425,1.4399356012492508,0.1663
226,0.4546548517667651,1.4387830380289628,0.1694
227,0.4559129198118368,1.43914747112964,0.1769
228,0.4551471392626627,1.4379081619919136,0.1929
229,0.4549283448200416,1.4389700877719942,0.2084
230,0.4561864128651132,1.4372092644790893,0.1688
231,0.4550377420413521,1.4369663955632974,0.1489
232,0.4561317142544579,1.4353864732606056,0.1725
233,0.4570068920249425,1.4357900196712263,0.189
234,0.4575538781314954,1.4331933199322573,0.1594
235,0.4573897822995296,1.4328698824902435,0.1669
236,0.4569521934142873,1.4334841809874224,0.1846
237,0.4583743572913248,1.4322401885977982,0.2044
238,0.4578820697954271,1.431559279116013,0.1852
239,0.4571162892462531,1.4314141685990585,0.1703
240,0.4584837545126354,1.431474703991782,0.1639
241,0.4591401378404988,1.4292742906338198,0.1951
242,0.4607263975495022,1.4283608335750184,0.177
243,0.4572256864675637,1.429869399982578,0.1392
244,0.4583743572913248,1.4287972689561723,0.1719
245,0.4582102614593589,1.427916355107496,0.1863
246,0.4588119461765671,1.4278444206671594,0.1671
247,0.459741822557707,1.4257477670696057,0.2152
248,0.4584290559019801,1.425820732909602,0.1758
249,0.4605076031068811,1.4243496948148708,0.1728
250,0.4596871239470517,1.4240074312904707,0.1824
251,0.4579367684060825,1.4239852015292171,0.2063
252,0.4608357947708128,1.422318261870278,0.1899
253,0.4596324253363965,1.4221792744932935,0.1793
254,0.4599606170003282,1.4220148011456824,0.1735
255,0.4592495350618094,1.422114625838872,0.1714
256,0.4614921780986763,1.4206760481428675,0.1669
257,0.4607810961601575,1.4199968740880369,0.2045
258,0.4611639864347445,1.4193641251983533,0.1808
259,0.4625861503117821,1.4197371396594856,0.1699
260,0.4620391642052291,1.4174381549686224,0.2178
261,0.4622579586478503,1.4178297251035838,0.1567
262,0.4636254239142325,1.416725844108958,0.1932
263,0.4629690405863691,1.4142030262735816,0.1795
264,0.4601794114429493,1.4160859465872924,0.1897
265,0.4635707253035773,1.4148398778094542,0.2268
266,0.4624767530904715,1.415507968804101,0.1959
267,0.4649381905699595,1.412885288990844,0.2208
268,0.4640630127994748,1.411981381416425,0.1794
269,0.4630237391970244,1.4115117123345815,0.18
270,0.4645553002953725,1.4121520170796662,0.2159
271,0.461820369762608,1.4130605364012752,0.2088
272,0.4637348211355431,1.4095437139641105,0.2
273,0.4626955475330926,1.410684224044112,0.2013
274,0.4636801225248879,1.410356150885247,0.2119
275,0.4632972322503008,1.4098325389673851,0.2001
276,0.4650475877912701,1.4085040555168795,0.2073
277,0.463516026692922,1.4086556106776458,0.1659
278,0.4631878350289902,1.4074026068690673,0.1833
279,0.4640083141888196,1.4073902211138671,0.2155
280,0.4665791488896182,1.4058795517662814,0.1951
281,0.4649928891806148,1.4059930984776463,0.1636
282,0.4643365058527513,1.4052516294509,0.2119
283,0.4647740947379936,1.4046178499179445,0.2135
284,0.4663056558363417,1.404441183146235,0.1992
285,0.466360354446997,1.4039027358207332,0.2197
286,0.4658680669510994,1.4029377824484734,0.2101
287,0.4660321627830653,1.4042207219644756,0.2026
288,0.4657039711191336,1.4027263499260887,0.1836
289,0.4653757794552018,1.4044039981029524,0.1844
290,0.4663056558363417,1.400554522710587,0.2129
291,0.4643912044634066,1.4040231592818715,0.2139
292,0.4645553002953725,1.401790282382262,0.1937
293,0.4635707253035773,1.4019917786714742,0.1877
294,0.4659227655617547,1.3995209458411333,0.1877
295,0.4660321627830653,1.400744266210585,0.2013
296,0.4671261349961711,1.3990886595457577,0.1933
297,0.4664150530576523,1.3981216958909493,0.206
298,0.4669620391642052,1.397500996411779,0.2026
299,0.4672355322174816,1.3972234369537109,0.1761
300,0.4672355322174816,1.39784826235755,0.2124
301,0.4665791488896182,1.3946472074098444,0.2042
302,0.4686029974838639,1.3937347404232512,0.1718
303,0.467290230828137,1.3967692176357502,0.1963
304,0.466360354446997,1.3955937041298407,0.1882
305,0.4684936002625533,1.3932953292829775,0.2314
306,0.4673996280494475,1.3942061516482491,0.2119
307,0.4685482988732086,1.3931082384602766,0.1779
308,0.4681654085986216,1.3930001051365162,0.209
309,0.4676731211027239,1.3938290929262231,0.2251
310,0.4675637238814134,1.3930401584536356,0.1696
311,0.4681654085986216,1.3909680292364048,0.1969
312,0.4686029974838639,1.391467140991387,0.1817
313,0.4687670933158298,1.3923961906017874,0.1967
314,0.4682748058199322,1.3903885372305005,0.1967
315,0.4688764905371403,1.388960017754726,0.1886
316,0.4686576960945192,1.3904575825050536,0.2446
317,0.4692046822010721,1.3891221960529094,0.1833
318,0.4691499835904168,1.3889875946414247,0.2026
319,0.4696969696969697,1.3887122098497902,0.2131
320,0.4684936002625533,1.387568278328854,0.1875
