epoch,accuracy,loss,f1
0,0.4275790394923969,1.4969997494164136,0.2748
1,0.4585931517339459,1.415113159439363,0.2071
2,0.4676184224920687,1.378288440873359,0.3348
3,0.4670167377748605,1.3809917757018444,0.1828
4,0.4914670167377749,1.3073762071013986,0.2875
5,0.5060168471720818,1.2483619671657693,0.3207
6,0.5682638660978011,1.1199660354807683,0.4567
7,0.6027239908106334,1.0504026331260967,0.4997
8,0.6265178864456843,0.9871305629860428,0.41
9,0.6359260474783941,0.9641521547897264,0.4673
10,0.5034460124712832,1.3194080451661316,0.2168
11,0.498304343069686,1.3064728737555582,0.4375
12,0.5706159063559786,1.1269902584589542,0.4569
13,0.6242205447981621,0.9812101546099118,0.5311
14,0.6513510556831856,0.91438080681947,0.5262
15,0.6491084126463188,0.9264196520586684,0.4987
16,0.6778251832403457,0.8537081975590516,0.5337
17,0.6758560332567553,0.8547768781148896,0.5866
18,0.7019472705393283,0.8017647846524166,0.6282
19,0.7140356634941473,0.7655932048767456,0.6503
20,0.7231156328629252,0.7434388650101367,0.6737
21,0.7340006563833279,0.7171952055575432,0.6013
22,0.7356416147029865,0.7016079753992686,0.5819
23,0.7420413521496554,0.6919925568753501,0.6604
24,0.7492615687561536,0.6721721326557581,0.644
25,0.7506837326331911,0.6664073147941713,0.7277
26,0.7555519089815119,0.6527196470346066,0.7152
27,0.758615031178208,0.650112946521739,0.6539
28,0.758232140903621,0.6457229093289352,0.6334
29,0.762006345038836,0.6438299922971285,0.6262
30,0.7071983371622361,0.7736299008264699,0.5445
31,0.6456624001750355,0.9519862390597374,0.5742
32,0.6975713816869051,0.8119752631055984,0.5974
33,0.7240455092440652,0.7359447936080058,0.6619
34,0.7432994201947271,0.6891628739974938,0.6428
35,0.7450497757356963,0.6746737651576648,0.5927
36,0.7593808117273821,0.6383767840299157,0.6609
37,0.7626080297560442,0.6280862712948787,0.6492
38,0.7762279838092112,0.6036505227589187,0.6596
39,0.7837763920796412,0.5873488284490156,0.6358
40,0.7922546767312111,0.5627896562797368,0.6991
41,0.7983809211246035,0.5430722824985461,0.6305
42,0.8083360682638661,0.5213277803613925,0.6997
43,0.8131495460015316,0.5109517499519222,0.7311
44,0.8154468876490537,0.4976288878530371,0.7315
45,0.8199868723334427,0.4826186420150429,0.7269
46,0.8237063778580024,0.47689412680787,0.7996
47,0.8248003500711082,0.4785000073441581,0.7646
48,0.8322393611202276,0.4488613011735023,0.7515
49,0.835357181927579,0.4411381649515871,0.7713
50,0.8352477847062685,0.4421436412174557,0.7004
51,0.8417022207635926,0.4232022405492309,0.731
52,0.8463516026692922,0.4140355879975387,0.716
53,0.8487036429274697,0.4070244280739798,0.792
54,0.8522043540094082,0.4000451471609694,0.8386
55,0.8517120665135105,0.4000416536349956,0.7613
56,0.8560332567552784,0.3862764812600833,0.7689
57,0.8572913248003501,0.3839061282980222,0.8141
58,0.8605732414396674,0.3721815238614766,0.8557
59,0.8638551580789848,0.3678980022652537,0.8319
60,0.8640739525216059,0.3649869216289161,0.8176
61,0.8659884038945411,0.3559433738279755,0.8523
