,accuracy,loss,f1
0,0.38097582321409035,1.6871290427304868,"tensor(0.0962, device='cuda:0')"
1,0.38261678153374906,1.618957438532574,"tensor(0.1201, device='cuda:0')"
2,0.3849141231812712,1.6013478744526868,"tensor(0.0903, device='cuda:0')"
3,0.390930970353353,1.5872710978041957,"tensor(0.1129, device='cuda:0')"
4,0.39760420085329834,1.5706720368604719,"tensor(0.1531, device='cuda:0')"
5,0.40952849797615143,1.5505112226493718,"tensor(0.1680, device='cuda:0')"
6,0.413412099332677,1.5374874710814983,"tensor(0.1065, device='cuda:0')"
7,0.4160923312547861,1.5338484818663356,"tensor(0.1406, device='cuda:0')"
8,0.4153265507056121,1.532743772262166,"tensor(0.1167, device='cuda:0')"
9,0.4168034131933049,1.5335884531508546,"tensor(0.1617, device='cuda:0')"
10,0.41527185209495676,1.5321802885602018,"tensor(0.1849, device='cuda:0')"
11,0.4159829340334755,1.5313801997183396,"tensor(0.1684, device='cuda:0')"
12,0.4174597965211684,1.5314267456577169,"tensor(0.1495, device='cuda:0')"
13,0.416639317361339,1.5311878607526361,"tensor(0.1815, device='cuda:0')"
14,0.41784268679575537,1.530410150497803,"tensor(0.1541, device='cuda:0')"
15,0.4173503992998578,1.5301920746885809,"tensor(0.1929, device='cuda:0')"
16,0.416639317361339,1.529755860446462,"tensor(0.1692, device='cuda:0')"
17,0.41800678262772123,1.5302166616404138,"tensor(0.1595, device='cuda:0')"
18,0.4177879881851001,1.5299458298585618,"tensor(0.2544, device='cuda:0')"
19,0.4172410020785472,1.5290758096080237,"tensor(0.1574, device='cuda:0')"
20,0.4159829340334755,1.5295625038916922,"tensor(0.1310, device='cuda:0')"
21,0.41642052291871784,1.528531717714185,"tensor(0.1157, device='cuda:0')"
22,0.41696750902527074,1.5285827598299477,"tensor(0.1597, device='cuda:0')"
23,0.4182255770703424,1.528450775702038,"tensor(0.1485, device='cuda:0')"
24,0.41860846734492946,1.5284086140719326,"tensor(0.1386, device='cuda:0')"
25,0.41860846734492946,1.527744812903317,"tensor(0.1588, device='cuda:0')"
26,0.41696750902527074,1.52697756995702,"tensor(0.1340, device='cuda:0')"
27,0.41860846734492946,1.5275405020698678,"tensor(0.1630, device='cuda:0')"
28,0.4181161798490318,1.5272008415359257,"tensor(0.1523, device='cuda:0')"
29,0.4191554534514823,1.5274425167938823,"tensor(0.1735, device='cuda:0')"
30,0.4184443715129636,1.5251203016801314,"tensor(0.1667, device='cuda:0')"
31,0.4199212340006564,1.5263165847541285,"tensor(0.1369, device='cuda:0')"
32,0.4187725631768953,1.5260081755725028,"tensor(0.1979, device='cuda:0')"
33,0.41910075484082704,1.5260825542401542,"tensor(0.1558, device='cuda:0')"
34,0.4197024395580352,1.5255858160945783,"tensor(0.1472, device='cuda:0')"
35,0.41871786456624,1.5251629276800411,"tensor(0.1782, device='cuda:0')"
36,0.41904605623017177,1.5242172399556764,"tensor(0.1390, device='cuda:0')"
37,0.4193742478941035,1.524602341803194,"tensor(0.1147, device='cuda:0')"
38,0.4199212340006564,1.5243295149056686,"tensor(0.1659, device='cuda:0')"
39,0.41953834372606935,1.524168071711876,"tensor(0.1626, device='cuda:0')"
40,0.41964774094737994,1.5236171656006496,"tensor(0.1593, device='cuda:0')"
41,0.41975713816869054,1.5239730393021937,"tensor(0.1544, device='cuda:0')"
42,0.42068701454983043,1.5233148211476162,"tensor(0.1455, device='cuda:0')"
43,0.4198118367793458,1.5226832333650204,"tensor(0.1611, device='cuda:0')"
44,0.4195930423367246,1.5214104241608086,"tensor(0.1576, device='cuda:0')"
45,0.4208511103817963,1.5209396180849917,"tensor(0.1926, device='cuda:0')"
46,0.41953834372606935,1.5206870845313303,"tensor(0.1680, device='cuda:0')"
47,0.4186631659555847,1.5210887643600004,"tensor(0.1133, device='cuda:0')"
48,0.4215074937096598,1.5207656700962444,"tensor(0.1752, device='cuda:0')"
49,0.4201400284432775,1.5195322292089175,"tensor(0.1508, device='cuda:0')"
50,0.4201400284432775,1.5198993277150683,"tensor(0.1293, device='cuda:0')"
51,0.420413521496554,1.5201026732023586,"tensor(0.1684, device='cuda:0')"
52,0.42260146592276554,1.5182727314218,"tensor(0.1612, device='cuda:0')"
53,0.42210917842686796,1.51897514912326,"tensor(0.1675, device='cuda:0')"
54,0.42063231593917516,1.5201212729292435,"tensor(0.1843, device='cuda:0')"
55,0.42101520621376215,1.5178505138056686,"tensor(0.1384, device='cuda:0')"
56,0.4216168909309704,1.5173868850002323,"tensor(0.1961, device='cuda:0')"
57,0.42167158954162565,1.5187308614200008,"tensor(0.1243, device='cuda:0')"
58,0.4210699048244175,1.5179951116744257,"tensor(0.1565, device='cuda:0')"
59,0.42391423257849253,1.5163513450311656,"tensor(0.1622, device='cuda:0')"
60,0.42276556175473146,1.517484128351298,"tensor(0.1671, device='cuda:0')"
61,0.42156219232031505,1.5171475288917768,"tensor(0.2067, device='cuda:0')"
62,0.4209058089924516,1.515801473997208,"tensor(0.1653, device='cuda:0')"
63,0.42260146592276554,1.515267365845506,"tensor(0.1261, device='cuda:0')"
64,0.42265616453342086,1.5147814105524953,"tensor(0.1507, device='cuda:0')"
65,0.4223279728694891,1.5160982698518382,"tensor(0.1385, device='cuda:0')"
66,0.4219450825949021,1.5148009797335062,"tensor(0.1668, device='cuda:0')"
67,0.42210917842686796,1.5138218639038048,"tensor(0.2104, device='cuda:0')"
68,0.422874958976042,1.5143528313517323,"tensor(0.1329, device='cuda:0')"
69,0.42347664369325017,1.5126403007057665,"tensor(0.1401, device='cuda:0')"
70,0.42254676731211027,1.5137653475373205,"tensor(0.1501, device='cuda:0')"
71,0.4236407395252161,1.5128901465666031,"tensor(0.2006, device='cuda:0')"
72,0.42271086314407613,1.513449747574667,"tensor(0.1828, device='cuda:0')"
73,0.4230937534186632,1.513029221541093,"tensor(0.1729, device='cuda:0')"
74,0.42391423257849253,1.5110886855428505,"tensor(0.1425, device='cuda:0')"
75,0.42358604091456076,1.510445309772936,"tensor(0.1548, device='cuda:0')"
76,0.42380483535718194,1.5105175871176657,"tensor(0.1742, device='cuda:0')"
77,0.4230937534186632,1.5109587310375368,"tensor(0.1824, device='cuda:0')"
78,0.4244612186850454,1.5096472605040787,"tensor(0.1242, device='cuda:0')"
79,0.4235313423039055,1.5098387271723357,"tensor(0.1873, device='cuda:0')"
80,0.42473471173832184,1.5085174049776606,"tensor(0.1700, device='cuda:0')"
81,0.42276556175473146,1.5099195054787382,"tensor(0.1797, device='cuda:0')"
82,0.4235313423039055,1.5086647366788843,"tensor(0.1703, device='cuda:0')"
83,0.4244065200743901,1.508250486888558,"tensor(0.1724, device='cuda:0')"
84,0.4248988075702877,1.5078356697553879,"tensor(0.1526, device='cuda:0')"
85,0.42473471173832184,1.508006301232415,"tensor(0.2004, device='cuda:0')"
86,0.42539109506618533,1.50749961021314,"tensor(0.1759, device='cuda:0')"
87,0.42391423257849253,1.5070485707615726,"tensor(0.1497, device='cuda:0')"
88,0.42413302702111366,1.5075922849702308,"tensor(0.1437, device='cuda:0')"
89,0.42517230062356415,1.5077443855777244,"tensor(0.1701, device='cuda:0')"
90,0.42517230062356415,1.5047503140807061,"tensor(0.1565, device='cuda:0')"
91,0.4255004922874959,1.5047779536954085,"tensor(0.1650, device='cuda:0')"
92,0.42517230062356415,1.504536632244259,"tensor(0.1926, device='cuda:0')"
93,0.4257739853407723,1.504080249553514,"tensor(0.1660, device='cuda:0')"
94,0.42517230062356415,1.5044265431108965,"tensor(0.1821, device='cuda:0')"
95,0.42615687561535937,1.504028558326803,"tensor(0.1911, device='cuda:0')"
96,0.4257739853407723,1.5035441773632348,"tensor(0.1276, device='cuda:0')"
97,0.42582868395142764,1.5043691100287575,"tensor(0.1648, device='cuda:0')"
98,0.42593808117273824,1.5020209093373476,"tensor(0.1883, device='cuda:0')"
99,0.42675856033256754,1.5023708405712217,"tensor(0.1890, device='cuda:0')"
100,0.4264850672792911,1.502349569413845,"tensor(0.1462, device='cuda:0')"
101,0.42763373810305216,1.500827965870974,"tensor(0.1617, device='cuda:0')"
102,0.42719614921780985,1.5014186583727536,"tensor(0.1696, device='cuda:0')"
103,0.4258833825620829,1.5008098998928916,"tensor(0.1535, device='cuda:0')"
104,0.42785253254567335,1.5004111970231278,"tensor(0.1674, device='cuda:0')"
105,0.4269773547751887,1.4992634994354306,"tensor(0.1520, device='cuda:0')"
106,0.4275790394923969,1.499353447089296,"tensor(0.1631, device='cuda:0')"
107,0.42730554643912044,1.4988530760924594,"tensor(0.1343, device='cuda:0')"
108,0.429110600590745,1.4981247999646994,"tensor(0.1497, device='cuda:0')"
109,0.42829012143091566,1.4979264145801996,"tensor(0.1811, device='cuda:0')"
110,0.4275243408817416,1.4977668808085849,"tensor(0.1470, device='cuda:0')"
111,0.4286730117055027,1.4982066955077102,"tensor(0.1638, device='cuda:0')"
112,0.427032053385844,1.496745308109843,"tensor(0.2001, device='cuda:0')"
113,0.4269773547751887,1.4971109484702907,"tensor(0.1513, device='cuda:0')"
114,0.4285636144841921,1.4960924738176724,"tensor(0.1621, device='cuda:0')"
115,0.428727710316158,1.495966620980461,"tensor(0.1844, device='cuda:0')"
116,0.42889180614812383,1.495295908881178,"tensor(0.1615, device='cuda:0')"
117,0.42883710753746856,1.494031745343406,"tensor(0.1750, device='cuda:0')"
118,0.43031397002516136,1.4931833966009702,"tensor(0.1695, device='cuda:0')"
119,0.4290559019800897,1.4928394734187846,"tensor(0.1754, device='cuda:0')"
120,0.429110600590745,1.4935540129874705,"tensor(0.1723, device='cuda:0')"
121,0.42965758669729787,1.4933149457538615,"tensor(0.1539, device='cuda:0')"
122,0.431189147795646,1.49215606077666,"tensor(0.1962, device='cuda:0')"
123,0.43031397002516136,1.4921501781548965,"tensor(0.1781, device='cuda:0')"
124,0.4317361339021989,1.4904097180543354,"tensor(0.1914, device='cuda:0')"
125,0.43086095613171427,1.489485807341098,"tensor(0.1709, device='cuda:0')"
126,0.4312985450169566,1.490678977893278,"tensor(0.1557, device='cuda:0')"
127,0.43195492834482,1.490184827167009,"tensor(0.1437, device='cuda:0')"
128,0.4307515589104037,1.4892461800807388,"tensor(0.1819, device='cuda:0')"
129,0.43135324362761185,1.4887717090463133,"tensor(0.1711, device='cuda:0')"
130,0.4301498741931955,1.488337366719982,"tensor(0.1503, device='cuda:0')"
131,0.4312985450169566,1.4863587077187443,"tensor(0.1163, device='cuda:0')"
132,0.43195492834482,1.486155562374214,"tensor(0.1214, device='cuda:0')"
133,0.4321190241767859,1.4863476161165972,"tensor(0.1360, device='cuda:0')"
134,0.43239251723006233,1.484879207420683,"tensor(0.1310, device='cuda:0')"
135,0.4316267366808883,1.4852567856375178,"tensor(0.1574, device='cuda:0')"
136,0.43255661306202825,1.4849004400414172,"tensor(0.1968, device='cuda:0')"
137,0.43326769500054696,1.4843009584464648,"tensor(0.1194, device='cuda:0')"
138,0.43326769500054696,1.483673280157363,"tensor(0.1468, device='cuda:0')"
139,0.4315173394595777,1.48281098639283,"tensor(0.1740, device='cuda:0')"
140,0.43496335193086094,1.4811561391150425,"tensor(0.1580, device='cuda:0')"
141,0.4334317908325129,1.4821202349785367,"tensor(0.1697, device='cuda:0')"
142,0.4341975713816869,1.4810228948454383,"tensor(0.1781, device='cuda:0')"
143,0.43540094081610325,1.4801775612986046,"tensor(0.1736, device='cuda:0')"
144,0.4341975713816869,1.4809193281203543,"tensor(0.1492, device='cuda:0')"
145,0.43572913248003503,1.4787736591997012,"tensor(0.1499, device='cuda:0')"
146,0.4339787769390657,1.4796057278342352,"tensor(0.1425, device='cuda:0')"
147,0.4337599824964446,1.4779643260497597,"tensor(0.1616, device='cuda:0')"
148,0.435346242205448,1.4772605919209367,"tensor(0.1827, device='cuda:0')"
149,0.43720599496772783,1.4764451865306922,"tensor(0.1681, device='cuda:0')"
