,accuracy,loss,f1
0,0.35849469423476643,1.7099290544466903,"tensor(0.0862, device='cuda:0')"
1,0.38015534405426105,1.6239562282128246,"tensor(0.1036, device='cuda:0')"
2,0.38622688983699816,1.5916615943263936,"tensor(0.1557, device='cuda:0')"
3,0.4007220216606498,1.5584498091060137,"tensor(0.1500, device='cuda:0')"
4,0.4189366590088612,1.5201588275591429,"tensor(0.1724, device='cuda:0')"
5,0.4285636144841921,1.4879942027031365,"tensor(0.1870, device='cuda:0')"
6,0.43179083251285416,1.4701164370487665,"tensor(0.2005, device='cuda:0')"
7,0.4337599824964446,1.4687488806637643,"tensor(0.1796, device='cuda:0')"
8,0.4317361339021989,1.4670076463483588,"tensor(0.1270, device='cuda:0')"
9,0.43293950333661524,1.4677197847386156,"tensor(0.1764, device='cuda:0')"
10,0.43436166721365277,1.4652219084573905,"tensor(0.1843, device='cuda:0')"
11,0.4340881741603763,1.4649311301614585,"tensor(0.1860, device='cuda:0')"
12,0.43200962695547535,1.4662416126832127,"tensor(0.1581, device='cuda:0')"
13,0.4326113116726835,1.4654356310213958,"tensor(0.1794, device='cuda:0')"
14,0.43551033803741385,1.4637533455627412,"tensor(0.1562, device='cuda:0')"
15,0.43348648944316814,1.4652716878884313,"tensor(0.1930, device='cuda:0')"
16,0.4318455311235095,1.4652306220683002,"tensor(0.1540, device='cuda:0')"
17,0.4327207088939941,1.4637264599621185,"tensor(0.1688, device='cuda:0')"
18,0.4343069686029975,1.4631453332461775,"tensor(0.1821, device='cuda:0')"
19,0.43288480472595997,1.4636728343524397,"tensor(0.1594, device='cuda:0')"
20,0.4327754075046494,1.4628467721785723,"tensor(0.1711, device='cuda:0')"
21,0.43293950333661524,1.4633319934365683,"tensor(0.1488, device='cuda:0')"
22,0.4327754075046494,1.4630112766815266,"tensor(0.1513, device='cuda:0')"
23,0.4334317908325129,1.4621547399392967,"tensor(0.1610, device='cuda:0')"
24,0.43447106443496336,1.4625711802932368,"tensor(0.1797, device='cuda:0')"
25,0.43381468110709986,1.4609918404089755,"tensor(0.1969, device='cuda:0')"
26,0.43239251723006233,1.4617543210478323,"tensor(0.1191, device='cuda:0')"
27,0.43179083251285416,1.4614605685446798,"tensor(0.1534, device='cuda:0')"
28,0.43441636582430804,1.4604436794760294,"tensor(0.1654, device='cuda:0')"
